feature,coefficient,abs_coefficient
DIFF_SEASON_PT_DIFF_PRE,0.26982652867512097,0.26982652867512097
DIFF_SEASON_WIN_PCT_PRE,0.20753027817968558,0.20753027817968558
DIFF_PT_DIFF_10_PRE,0.20157074484100435,0.20157074484100435
B2B_DIFF,-0.12476936044517592,0.12476936044517592
DIFF_WIN_PCT_5_PRE,-0.09892052255325175,0.09892052255325175
DIFF_PTS_FOR_10_PRE,0.05357304729550968,0.05357304729550968
DIFF_OFF_RATING_PROXY_10_PRE,0.05357304729550968,0.05357304729550968
DIFF_WIN_PCT_10_PRE,0.048728786568416116,0.048728786568416116
GAMES_PLAYED_DIFF,-0.04045556904974458,0.04045556904974458
DIFF_PT_DIFF_5_PRE,0.03582544609053663,0.03582544609053663
DIFF_PTS_AGAINST_5_PRE,-0.03442895014930259,0.03442895014930259
DIFF_DEF_RATING_PROXY_10_PRE,-0.023104060361925242,0.023104060361925242
DIFF_PTS_AGAINST_10_PRE,-0.023104060361925242,0.023104060361925242
DIFF_PTS_FOR_5_PRE,0.008155427374566928,0.008155427374566928
REST_DAYS_DIFF,-0.006775768028541614,0.006775768028541614
HOME_COURT_FLAG,0.0,0.0
