feature,importance
DIFF_SEASON_PT_DIFF_PRE,0.3295064
DIFF_SEASON_WIN_PCT_PRE,0.13783386
DIFF_PT_DIFF_10_PRE,0.078619644
DIFF_WIN_PCT_10_PRE,0.072040215
DIFF_PT_DIFF_5_PRE,0.042159673
B2B_DIFF,0.041153815
DIFF_PTS_FOR_10_PRE,0.039985865
REST_DAYS_DIFF,0.037012774
DIFF_OFF_RATING_PROXY_10_PRE,0.036359426
DIFF_PTS_AGAINST_5_PRE,0.035730626
DIFF_WIN_PCT_5_PRE,0.030985737
DIFF_DEF_RATING_PROXY_10_PRE,0.030203853
DIFF_PTS_FOR_5_PRE,0.030023519
DIFF_PTS_AGAINST_10_PRE,0.029694097
GAMES_PLAYED_DIFF,0.028690513
HOME_COURT_FLAG,0.0
