params,validation_log_loss
"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6116542816162109
"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.6119805574417114
"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6119827032089233
"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.6121631860733032
"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6125349998474121
"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.6125364899635315
"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.6130869388580322
"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.6131322979927063
"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.6132053136825562
"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.6135019063949585
"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.6135234236717224
"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.6138812303543091
"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.08, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6139129400253296
"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.08, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.6145355105400085
"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.6145980954170227
"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.6151306629180908
"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.08, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.6161060333251953
"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.08, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.6165019869804382
"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.616926372051239
"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.6173744201660156
"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.08, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.6181144118309021
"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.08, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.6183271408081055
"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.08, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.6184751391410828
"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.08, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.6189579367637634
"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.08, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.6200388073921204
"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.08, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6201695203781128
"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.08, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6203051805496216
"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.08, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.6217109560966492
"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.08, 'subsample': 0.8, 'colsample_bytree': 1.0}",0.6312006711959839
"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.08, 'subsample': 1.0, 'colsample_bytree': 0.8}",0.631721019744873
"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.08, 'subsample': 1.0, 'colsample_bytree': 1.0}",0.6333248019218445
"{'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.08, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6340014338493347
