scope,confidence_bucket,games,avg_confidence,observed_accuracy
league,50-55%,12,0.517365598392031,0.5
league,55-60%,17,0.5766923185230449,0.7058823529411765
league,60-65%,12,0.6232397275333531,0.8333333333333334
league,65-75%,38,0.6966338822173279,0.7368421052631579
league,75-85%,32,0.7931345996120592,0.84375
league,85-100%,19,0.929381953089277,1.0
thunder,50-55%,1,0.5434089501698812,0.0
thunder,55-60%,1,0.5635358989238739,1.0
thunder,60-65%,0,,
thunder,65-75%,2,0.6895971586031342,1.0
thunder,75-85%,1,0.8132206201553345,1.0
thunder,85-100%,3,0.9159326201511755,1.0
